date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:49:04	30/30	---M--	200	added ('OK')	text/plain	etag:%2254ae829013f5d19191a06dbd914d4454%22	https://findrealestate.com/robots.txt		(from )
22:49:05	138676/138676	---MCZ	200	added ('OK')	text/html	etag:W/%222d9b913ce02b31e8adc3109ba18537df%22	https://findrealestate.com/	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/index.html	(from )
22:49:06	29904/29904	---M--	200	added ('OK')	font/woff2	etag:%22e35fad09c70beb975a297c43c6af4e66%22	https://findrealestate.com/_next/static/media/26d0ba92e140f0dc-s.p.woff2	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/media/26d0ba92e140f0dc-s.p.woff2	(from https://findrealestate.com/)
22:49:07	37792/37792	---M--	200	added ('OK')	font/woff2	etag:%22662c56ecd8de96f417f0400559ab2ab9%22	https://findrealestate.com/_next/static/media/5c0c2bcbaa4149ca-s.p.woff2	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/media/5c0c2bcbaa4149ca-s.p.woff2	(from https://findrealestate.com/)
22:49:08	13363/13363	---MCZ	200	added ('OK')	text/css	etag:W/%22e402b155e3d022bf02766e975e0723bf%22	https://findrealestate.com/_next/static/css/e2782cd3e79a266b.css?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/css/e2782cd3e79a266bdbbc.css	(from https://findrealestate.com/)
22:49:09	101018/101018	---MCZ	200	added ('OK')	text/css	etag:W/%220fc18eb34ff25deb9e94efd958c404da%22	https://findrealestate.com/_next/static/css/43ebd1f67d8fddb8.css?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/css/43ebd1f67d8fddb8dbbc.css	(from https://findrealestate.com/)
22:49:10	17151/17151	---MCZ	200	added ('OK')	text/css	etag:W/%22dd45c7ab4d6235badf4fb5124b01896a%22	https://findrealestate.com/_next/static/css/5290e5f354def47d.css?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/css/5290e5f354def47ddbbc.css	(from https://findrealestate.com/)
22:49:11	10081/10081	---MCZ	200	added ('OK')	text/css	etag:W/%22e6de199bac3a204233d6ae990e08caa5%22	https://findrealestate.com/_next/static/css/e57884f9deb6ac47.css?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/css/e57884f9deb6ac47dbbc.css	(from https://findrealestate.com/)
22:49:12	2812/2812	---MCZ	200	added ('OK')	text/css	etag:W/%22361f011192d09ca70c1ec3ffbfcb1423%22	https://findrealestate.com/_next/static/css/33f3cda2aa79f5e3.css?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/css/33f3cda2aa79f5e3dbbc.css	(from https://findrealestate.com/)
22:49:13	2754/2754	---MCZ	200	added ('OK')	text/css	etag:W/%223207e422bd21f9be9aa59a244f606454%22	https://findrealestate.com/_next/static/css/4c0c15c47e700f3f.css?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/css/4c0c15c47e700f3fdbbc.css	(from https://findrealestate.com/)
22:49:14	51150/51150	---MCZ	200	added ('OK')	text/css	etag:W/%2219533ed442bdb0ed0fb1fc2307bbe5cd%22	https://findrealestate.com/_next/static/css/f46e979614fc3394.css?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/css/f46e979614fc3394dbbc.css	(from https://findrealestate.com/)
22:49:15	9125/9125	---MCZ	200	added ('OK')	text/css	etag:W/%228f4afa949be0abc60a5e45264e758401%22	https://findrealestate.com/_next/static/css/76625cdb983d5d00.css?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/css/76625cdb983d5d00dbbc.css	(from https://findrealestate.com/)
22:49:16	98394/98394	---MCZ	200	added ('OK')	text/css	etag:W/%22ccdc3795ba1e7f8b569b9db9c93f7bfc%22	https://findrealestate.com/_next/static/css/adc61774fa76340b.css?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/css/adc61774fa76340bdbbc.css	(from https://findrealestate.com/)
22:49:17	5127/5127	---MCZ	200	added ('OK')	text/css	etag:W/%22a3d50f92bcb748d08de9c98d4fee171a%22	https://findrealestate.com/_next/static/css/2ce3823ef48c999d.css?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/css/2ce3823ef48c999ddbbc.css	(from https://findrealestate.com/)
22:49:17	7396/7396	---MCZ	200	added ('OK')	text/css	etag:W/%227e2d5e6b33c4a81d5ce32a6c39ec589d%22	https://findrealestate.com/_next/static/css/33946ee3638ff2c6.css?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/css/33946ee3638ff2c6dbbc.css	(from https://findrealestate.com/)
